9 sty 2026,Ambev dividend,US02319V1035,US,"68,89$ (249,68 PLN)","0,00$ (0,00$)","0,00$ (0,00 PLN)","0,00 PLN (0,00 PLN)","68,89$ (249,68 PLN)",,
15 sty 2026,EPR Properties dividend,US26884U1097,US,"235,48$ (854,20 PLN)","35,32$ (128,12 PLN)","0,00$ (0,00 PLN)","0,00 PLN (0,00 PLN)","200,16$ (726,08 PLN)",,
2 lut 2026,Edison International dividend,US2810201077,US,"31,79$ (113,74 PLN)","4,77$ (17,06 PLN)","0,00$ (0,00 PLN)","0,00 PLN (0,00 PLN)","27,02$ (96,68 PLN)",,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Sprzedane jednostki,,,,,,,,,,
"Data (Sprzedaży, Zakupu)","Opis, symbol i kod ISIN",Kraj,Wiek jednostek,Units sold,"Cena jednostkowa (Data sprzedaży, w dniu daty zakupu)","Wartość (Sprzedaży, Zakupu)",Zyski kapitałowe,Zatrzymane podatki,Inne podatki,Opłaty
"16 sty 2026, 14 maj 2024",ConAgra Foods CAG (US2058871029),US,612 days,644.71405544,"+US$17, -US$31.02 (+61.91 PLN, -122.44 PLN)","+US$10,961.04, -US$20,000 (+39,914.26 PLN, -78,935.63 PLN)","-US$9,038.96 (-39,021.37 PLN)",US$0 (0 PLN),US$0.13 (0.47 PLN),US$0 (0 PLN)
"16 sty 2026, 26 lut 2025",ConAgra Foods CAG (US2058871029),US,324 days,19.34235976,"+US$17, -US$25.85 (+61.91 PLN, -102 PLN)","+US$328.85, -US$500 (+1,197.49 PLN, -1,972.96 PLN)",-US$171.15 (-775.47 PLN),US$0 (0 PLN),US$0 (0 PLN),US$0 (0 PLN)
"16 sty 2026, 9 kwi 2025",ConAgra Foods CAG (US2058871029),US,282 days,39.29720514,"+US$17, -US$24.99 (+61.91 PLN, -96.68 PLN)","+US$668.10, -US$981.99 (+2,432.86 PLN, -3,799.41 PLN)","-US$313.89 (-1,366.55 PLN)",US$0 (0 PLN),US$0.01 (0.03 PLN),US$0 (0 PLN)
,,,,,,,,,,
Other brokerage account transactions,,,,,,,,,,
Date,Description & symbol,ISIN,Quantity,Country,Gross value,Taxes withheld,Other taxes,Fees,Net value,
